"SOURCE","RSS LINK / OPTIONS PAGE"
HMG,"- https://www.gov.uk/government/announcements (specify search and click 'feed' button)\n- https://www.gov.uk/government/announcements.atom?departments%5B%5D=foreign-commonwealth-office (example feed for all FCO announcements)\n- https://www.gov.uk/government/announcements.atom?world_locations%5B%5D=india(example feed for all articles in 'World locations' for India)\n- https://www.judiciary.gov.uk/rss-feeds/"
UK,"- http://www.parliament.uk/site-information/rss-feeds/\n- https://www.london.gov.uk/city-hall-blog/rss-feeds"
